"category","room_count","bathroom_count","size","type","price","city","region"
"Appartements",1.32465854735147,1,1.83393986917612,"À Vendre",2.24630267848028,"Ariana","La Soukra"
"Appartements",0.302406629355864,1,1.83393986917612,"À Louer",-0.787118111865716,"Ariana","La Soukra"
"Maisons et Villas",-0.719845288639747,1,1.26098475904629,"À Louer",-0.792880974172842,"Ariana","Autres villes"
"Appartements",0.302406629355864,1,0.224208845478035,"À Vendre",0.893201349782757,"Ariana","La Soukra"
"Appartements",1.32465854735147,1,1.26098475904629,"À Vendre",0.893201349782757,"Ariana","Ennasr"
"Appartements",0.302406629355864,1,0.351532203284664,"À Vendre",0.846348810700432,"Ariana","Ennasr"
"Appartements",-0.719845288639747,1,-0.0122488190199886,"À Vendre",0.612086115288812,"Ariana","Ennasr"
"Appartements",1.32465854735147,1,-0.194139330172315,"À Vendre",0.143560724465571,"Ariana","Autres villes"
"Appartements",-1.74209720663536,1,-1.3582386015472,"À Vendre",-0.0532199396801908,"Ariana","Jardins D'el Menzah"
"Appartements",-0.719845288639747,1,0.0968854876714071,"À Vendre",0.612086115288812,"Ariana","Ennasr"
"Appartements",0.302406629355864,1,0.169641692132338,"À Vendre",0.494954767583001,"Ariana","Jardins D'el Menzah"
"Appartements",-1.74209720663536,1,-1.88572108388895,"À Louer",-0.793162089407336,"Ariana","Autres villes"
"Magasins, Commerces et Locaux industriels",-1.74209720663536,1,-1.72201962385185,"À Vendre",-0.235944842101255,"Ariana","Ariana"
"Appartements",0.302406629355864,1,-0.376029841324641,"À Vendre",-0.0907019709460501,"Ariana","Raoued"
"Appartements",-0.719845288639747,1,-0.557920352476967,"À Vendre",0.284118341712543,"Ariana","Jardins D'el Menzah"
"Appartements",-0.719845288639747,1,-0.194139330172315,"À Vendre",0.330970880794867,"Ariana","Ennasr"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",-0.442096014063481,"Ariana","Ariana"
"Appartements",0.302406629355864,1,0.624367970013153,"À Vendre",2.24630267848028,"Ariana","Jardins D'el Menzah"
"Appartements",-1.74209720663536,1,-1.10359188593395,"À Louer",-0.789601296437079,"Ariana","Jardins D'el Menzah"
"Appartements",-0.719845288639747,1,-0.085005023480919,"À Vendre",0.752643732535784,"Ariana","Ennasr"
"Maisons et Villas",1.83578450634928,1,1.83393986917612,"À Vendre",2.24630267848028,"Ariana","La Soukra"
"Maisons et Villas",1.32465854735147,1,1.83393986917612,"À Vendre",2.24630267848028,"Ariana","La Soukra"
"Appartements",0.302406629355864,1,1.83393986917612,"À Vendre",2.24630267848028,"Ariana","La Soukra"
"Maisons et Villas",1.83578450634928,1,1.44287527019862,"À Vendre",0.70579119345346,"Ariana","Ariana Ville"
"Appartements",-0.719845288639747,1,1.00633804343304,"À Vendre",1.40857927968832,"Ariana","La Soukra"
"Appartements",0.302406629355864,1,1.0427161456635,"À Vendre",2.24630267848028,"Ariana","La Soukra"
"Appartements",-0.719845288639747,1,-0.194139330172315,"À Louer",-0.793021531790089,"Ariana","Ennasr"
"Appartements",-1.74209720663536,1,-0.794378016974991,"À Vendre",0.345026642519564,"Ariana","Ennasr"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",2.24630267848028,"Ariana","Mnihla"
"Appartements",0.302406629355864,1,0.624367970013153,"À Vendre",2.24630267848028,"Ariana","La Soukra"
"Appartements",-0.719845288639747,1,-0.594298454707432,"À Louer",-0.790913167531384,"Ariana","Raoued"
"Appartements",-0.719845288639747,1,-1.28548239708627,"À Louer",-0.791709660695784,"Ariana","Borj Louzir"
"Appartements",1.32465854735147,1,-0.0122488190199886,"À Vendre",0.541807306665326,"Ariana","Jardins D'el Menzah"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",-0.665114100095344,"Ariana","Ariana"
"Appartements",0.302406629355864,1,-0.830756119205456,"À Louer",-0.792787269094677,"Ariana","Ghazela"
"Appartements",-1.74209720663536,1,-1.28548239708627,"À Vendre",0.0498556463009223,"Ariana","Ennasr"
"Appartements",-0.719845288639747,1,-0.0122488190199886,"À Louer",-0.789976116749738,"Ariana","La Soukra"
"Appartements",-0.719845288639747,1,-0.194139330172315,"À Louer",-0.790210379445149,"Ariana","La Soukra"
"Appartements",1.32465854735147,1,-0.376029841324641,"À Louer",-0.789601296437079,"Ariana","Autres villes"
"Appartements",0.302406629355864,1,0.169641692132338,"À Louer",-0.786930701709387,"Ariana","Autres villes"
"Maisons et Villas",-0.719845288639747,1,-0.0122488190199886,"À Louer",-0.790444642140561,"Ariana","Ghazela"
"Maisons et Villas",1.32465854735147,1,-0.376029841324641,"À Louer",-0.78739922710021,"Ariana","Ennasr"
"Appartements",-0.719845288639747,1,-0.739810863629293,"À Louer",-0.793068384329171,"Ariana","Autres villes"
"Appartements",-1.74209720663536,1,-1.01264663035778,"À Vendre",0.0967081853832464,"Ariana","Ennasr"
"Appartements",-0.719845288639747,1,-0.557920352476967,"À Louer",-0.789507591358915,"Ariana","La Soukra"
"Appartements",1.32465854735147,1,-0.557920352476967,"À Vendre",1.08061150611205,"Ariana","Autres villes"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",2.24630267848028,"Ariana","Autres villes"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",-0.324964666357671,"Ariana","Borj Louzir"
"Appartements",-1.74209720663536,1,-0.921701374781619,"À Louer",-0.792927826711924,"Ariana","La Soukra"
"Maisons et Villas",1.32465854735147,1,-0.194139330172315,"À Vendre",0.143560724465571,"Ariana","Autres villes"
"Appartements",0.302406629355864,1,-0.0122488190199886,"À Louer",-0.786930701709387,"Ariana","Jardins D'el Menzah"
"Appartements",0.302406629355864,1,0.133263589901872,"À Vendre",0.58865984574765,"Ariana","Ariana Ville"
"Magasins, Commerces et Locaux industriels",0.302406629355864,1,-0.594298454707432,"À Vendre",-0.488948553145805,"Ariana","Autres villes"
"Maisons et Villas",0.302406629355864,1,-0.739810863629293,"À Louer",-0.791287987844043,"Ariana","La Soukra"
"Appartements",-1.74209720663536,1,-0.830756119205456,"À Louer",-0.789039065968091,"Ariana","La Soukra"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",0.424675958959515,"Ariana","Mnihla"
"Maisons et Villas",-0.719845288639747,1,-0.376029841324641,"À Vendre",-0.254685857734185,"Ariana","Autres villes"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",-0.592024139126918,"Ariana","Autres villes"
